nodeId,status,chars,examPatternsVi,examPatternsJa,commonMistakesVi,commonMistakesJa
license-ai,detailed,1502,3,3,3,3
ai-project-flow,detailed,1422,3,3,3,3
ai-stakeholder,detailed,1408,3,3,3,3
classification-ai,detailed,1593,3,3,3,3
cnn-ai,detailed,1322,3,3,3,3
computer-vision-ai,detailed,1374,3,3,3,3
customer-churn-ai,detailed,1319,3,3,3,3
data-preprocessing-ai,detailed,1513,3,3,3,3
education-ai,detailed,1259,3,3,3,3
few-shot-ai,detailed,1292,3,3,3,3
finance-ai,detailed,1274,3,3,3,3
human-in-the-loop,detailed,1399,3,3,3,3
manufacturing-ai,detailed,1323,3,3,3,3
marketing-ai,detailed,1298,3,3,3,3
medical-ai,detailed,1287,3,3,3,3
ocr-ai,detailed,1318,3,3,3,3
public-sector-ai,detailed,1541,3,3,3,3
regression-ai,detailed,1371,3,3,3,3
semantic-search-ai,detailed,1386,3,3,3,3
supervised-ai,detailed,1441,3,3,3,3
underfitting-ai,detailed,1360,3,3,3,3
unsupervised-ai,detailed,1383,3,3,3,3
ai-audit-log,detailed,1353,3,3,3,3
ai-energy-consumption,detailed,1356,3,3,3,3
ai-environmental-impact,detailed,1344,3,3,3,3
cloud-gpu-ai,detailed,1318,3,3,3,3
edge-device-ai,detailed,1362,3,3,3,3
gpu-ai,detailed,1361,3,3,3,3
on-device-ai,detailed,1340,3,3,3,3
