check,passed
"Python catalog has at least 100 lessons/nodes",PASS
"Python lessons are enriched from catalog",PASS
"Python lessons include edge case/test wording",PASS
"Python lessons include FastAPI specific QA",PASS
"Python lessons include OOP specific QA",PASS
"Python lessons include algorithm specific QA",PASS
"Release notes component exists",PASS
"Release notes mention AI Passport complete local",PASS
"Release notes mention 基本情報 complete local + 科目B",PASS
"Release notes mention Python code lab + FastAPI + project",PASS
"Course completion dashboard exists",PASS
"Course completion dashboard includes three readiness courses",PASS
"Dashboard renders V77R release notes",PASS
"Dashboard renders course completion dashboard",PASS
